לקוח,שם לקוח,תקן,תיאור,אחראי לביצוע,שם אחראי,אגף,גירסה,תאריך הוצאה,תאריך עדכון אחרון,פעיל, , , 
7930,ITP GROUP,CCF-245-000184,CCF'S DEFINITION SHEET,,,14,1,23/06/2009,23/06/2009,Active,,,
7930,ITP GROUP,CCF-245-000185,CCF'S DEFINITION SHEET,,,14,1,23/06/2009,23/06/2009,Active,,,
7930,ITP GROUP,CCF-245-000280,CCF'S DEFINITION SHEET,,,14,1,10/05/2013,10/05/2013,Active,,,
7930,ITP GROUP,CCF-277-000035,"CCF'S DEFINITION SHEET
",,,14,3,22/02/2012,22/02/2012,Active,,,
7930,ITP GROUP,CCF-277-000036,CCF'S DEFINITION SHEET,,,14,3,26/06/2012,26/06/2012,Active,,,
7930,ITP GROUP,CCF-65D-000029,LP2 NGV...  -  CASTING,115592,שימרון אלדר,22,2,14/04/2020,14/04/2020,Active,,,
7930,ITP GROUP,CME5013-2-15A,Ni - 12.5 Cr - 9Co - 4.2 W - 4.2Ta - 4Ti - 3.4Al - 1.9Mo,106815,וולפמן בוריס,,1A,01/04/1991,01/04/1991,Active,,,
7930,ITP GROUP,CME5013-2-2c,MACRO AND MICROSTRUCTURAL STANDARDS FOR DISCS,,,,3,01/08/1995,01/08/1995,Active,,,
7930,ITP GROUP,CME5013/2/18A,Ni15Cr10Co8Mo4.2Al3.6Ti ALLOY,106815,וולפמן בוריס,,3A,01/12/2003,01/12/2003,Active,,,
7930,ITP GROUP,CME5013/2/2C,METALLURGICAL STANDARD SPECIAL GRADE INCO 718,,,,3,01/08/2005,01/08/2005,Active,,,
7930,ITP GROUP,CME5013/2/2H,Microstructural standards for components cast in IN718,113522,נפמן אוראל,22,2A,01/05/1995,01/05/1995,Active,,,
7930,ITP GROUP,CME5036,APPROVED TEST PIECE REGISTER,112797,יונגמן יותם,,5,01/04/2016,01/04/2016,Active,,,
7930,ITP GROUP,CSH-00003309,Metallurgical requirements for development Inner Case,110932,שר יעקב,12,1,17/06/2016,17/06/2016,Active,,,
7930,ITP GROUP,CSH-00006909,"STELLA - Techincal information for NGV stages 1, 2 & 3",112797,יונגמן יותם,,1,09/03/2017,09/03/2017,Active,,,
7930,ITP GROUP,CSS 122,COLD DEWATERING FLUIDS - OIL OR SOLVENT HASED,,,,4,28/08/1996,28/08/1996,Active,,,
7930,ITP GROUP,CSS 241,COMPRESSED AND LIQUID GAS SUPPLIES,111534,רוזנשטיין צ'רלס,,6,01/05/2014,01/05/2014,Active,,,
