לקוח,שם לקוח,תקן,תיאור,אחראי לביצוע,שם אחראי,אגף,גירסה,תאריך הוצאה,תאריך עדכון אחרון,פעיל, , , 
7170,MTU Aero Engines AG,3A0644-00012626,"Issue Note-VANE-TURBINE,STG4 Project V2500",,,,1,08/10/2008,08/10/2008,Active,,,
7170,MTU Aero Engines AG,5381112SK01-00018651,"Issue Note BLADE-LP TURBINE,STG2",,,,,05/02/2009,05/02/2009,Active,,,
7170,MTU Aero Engines AG,7170,Interpretation of drawings,88500,לפיד אלדד,12,18,01/10/2006,01/01/2018,Active,,,
7170,MTU Aero Engines AG,ANNEX,Instructions for Shipments from European Countries,110510,ריהן דניאל,,,01/02/2009,01/11/2011,Active,,,
7170,MTU Aero Engines AG,APM 1-4,Specifications for LPT guide vanes and rotor blades,105155,הרוש ציון,,16,01/07/2007,01/07/2016,Active,,,
7170,MTU Aero Engines AG,APM1-1,Interchangeability of company specifications between MTU Aero Engines und P&W,88500,לפיד אלדד,,20,01/07/2008,01/02/2020,Active,,,
7170,MTU Aero Engines AG,APM1-2,Interchangeability of company specifications between MTU Aero Engines und P&W-Specs,88500,לפיד אלדד,,20,01/07/2008,01/02/2020,Active,,,
7170,MTU Aero Engines AG,Annex B-MUC,"Shipping instructions MTU Aero Engines GmbH
from European Countries (except France)",110403,מירקוס יגאל,,,01/02/2012,01/02/2016,Active,,,
7170,MTU Aero Engines AG,Annex I-MUC,"Shipping instructions MTU Aero Engines GmbH
from Israel",110510,ריהן דניאל,,,01/02/2012,01/06/2016,Active,,,
7170,MTU Aero Engines AG,B50TF56,NICKEL ALUMINUM THERMAL SPRAY POWDER,113522,נפמן אוראל,12,8,01/10/2008,01/10/2008,Active,,,
7170,MTU Aero Engines AG,DIN 65034,"Castings of steel, nickel- and
cobalt alloys",108332,קויתי אבי,,,01/01/2010,01/01/2010,Active,,,
7170,MTU Aero Engines AG,EI,tt,,,,,01/01/2001,01/01/2001,Not Active,,,
7170,MTU Aero Engines AG,EI 385,APS5000A rotor component and sub-assembly balance requirements,88500,לפיד אלדד,12,--,10/01/2018,10/01/2018,Active,,,
7170,MTU Aero Engines AG,FRM 558,Problem-Solving Sheet,307,דיין משה,,16,01/06/2016,01/06/2016,Active,,,
7170,MTU Aero Engines AG,FRM 693,MSA- Summary,307,דיין משה,,17,01/09/2017,01/08/2016,Active,,,
7170,MTU Aero Engines AG,FRM 694,MSA- analysis overview,307,דיין משה,,,01/08/2016,01/08/2016,Active,,,
7170,MTU Aero Engines AG,FRM 695,"Decision-making form for ""non-capable inspection processes""",307,דיין משה,,17,01/09/2017,01/08/2016,Active,,,
