לקוח,שם לקוח,תקן,תיאור,אחראי לביצוע,שם אחראי,אגף,גירסה,תאריך הוצאה,תאריך עדכון אחרון,פעיל, , , 
7100,Pratt & Whitney Aircraft Group, PWA 79050,CONTROL OF MACHINED FEATURES,88500,לפיד אלדד,,A,24/06/2016,24/06/2016,Active,,,
7100,Pratt & Whitney Aircraft Group, PWA 79201,"ALLOY BARS, FORGINGS, AND RINGS, CORROSION AND HEAT RESISTANT
Triple Melted, Solution and Precipitation Heat Treated",106815,וולפמן בוריס,,B,07/02/2017,07/02/2017,Active,,,
7100,Pratt & Whitney Aircraft Group,9PMC 1311,9PMC 1311    GOLD CYANIDE SALT,,,,J,01/05/1964,27/07/1998,Active,,,
7100,Pratt & Whitney Aircraft Group,A-08,"THERMAL SPRAY DEPOSITED AIRFOIL COATINGS
Process Evaluation Criteria

",115402,טרננקו ויטלי,,A,08/06/2005,08/06/2005,Active,,,
7100,Pratt & Whitney Aircraft Group,A-28,Stripping of Thermal Sprayed Coatings,112052,גור מיטל,,0,13/07/2010,13/07/2010,Active,,,
7100,Pratt & Whitney Aircraft Group,APP. A SECTION I,list of Independent Testing Laboratories and Suppliers certified to perform NDT inspections,110510,ריהן דניאל,,,01/07/2014,06/10/2014,Active,,,
7100,Pratt & Whitney Aircraft Group,APP. A SECTION II,list of Suppliers certified to perform NDT inspections,105429,יום טוב דניאל,,C,01/07/2014,13/01/2017,Active,,,
7100,Pratt & Whitney Aircraft Group,APU SQL,Pratt & Whitney – APU Source Qualification List (SQL),105429,יום טוב דניאל,,M,31/12/2015,06/04/2020,Active,,,
7100,Pratt & Whitney Aircraft Group,ASQR 01,Supplier Quality System Requirements,307,דיין משה,,11,15/12/2007,31/08/2018,Active,,,
7100,Pratt & Whitney Aircraft Group,ASQR 07.5,Control of Software,555326,שטיינר דודי,22,1,15/02/2005,17/12/2013,Active,,,
7100,Pratt & Whitney Aircraft Group,ASQR 09.1,Flight Safety Parts Program,116145,דפרין חיים,,6,01/12/2011,01/12/2011,Active,,,
7100,Pratt & Whitney Aircraft Group,ASQR 09.2,UTC Production Part Approval Process (UPPAP),115576,מלכה ספיר,,2,28/01/2019,28/01/2018,Active,,,
7100,Pratt & Whitney Aircraft Group,ASQR 09.2 FORM 1,UPPAP APPROVAL,115576,מלכה ספיר,,3,01/03/2016,01/03/2016,Active,,,
7100,Pratt & Whitney Aircraft Group,ASQR 09.2 FORM 3,UPPAP INPUT DATA SHEET (IDS),115576,מלכה ספיר,,2,01/10/2015,01/10/2015,Active,,,
7100,Pratt & Whitney Aircraft Group,ASQR 15.1,"Handling, Storage, Packaging, Preservation and Delivery",88500,לפיד אלדד,,2,24/04/2002,15/02/2011,Active,,,
7100,Pratt & Whitney Aircraft Group,ASQR-01 FORM 2,SUPPLIER PROCESS CHANGE NOTIFICATION,307,דיין משה,,11,01/01/2016,01/07/2018,Active,,,
7100,Pratt & Whitney Aircraft Group,ASQR-01 FORM 3,SUPPLIER COMMUNICATIONN,307,דיין משה,,C,01/04/2014,01/12/2018,Active,,,
7100,Pratt & Whitney Aircraft Group,ASQR-01 FORM 4,Work Transitions,307,דיין משה,,2,01/11/2016,16/04/2018,Active,,,
7100,Pratt & Whitney Aircraft Group,ASQR-01 FORM 5,Compliance Gap Analysis,115980,גרשינסקי חננאל,,11,01/10/2016,01/08/2018,Active,,,
7100,Pratt & Whitney Aircraft Group,ASQR-01 FORM 6,NOTIFICATION OF POTENTIAL QUALITY ESCAPE,52258,קציר עמוס,,,03/10/2016,03/10/2016,Active,,,
7100,Pratt & Whitney Aircraft Group,ASQR-01 FORM 7,DQR CANDIDATE APPLICATION,52258,קציר עמוס,,,30/11/2016,01/10/2016,Active,,,
7100,Pratt & Whitney Aircraft Group,ASQR-01 FORM 8,"LETTER OF AGREEMENT
Delegated Quality Representative Program
",52258,קציר עמוס,,,01/01/2016,01/01/2016,Active,,,
7100,Pratt & Whitney Aircraft Group,ASQR-01 FORM 9,UTC Distributor Request,110510,ריהן דניאל,,-,01/11/2016,01/11/2016,Active,,,
7100,Pratt & Whitney Aircraft Group,ASQR-01 FORM1,CHECK LIST,117085,כהן מנשה,,11,09/01/2015,31/08/2018,Active,,,
7100,Pratt & Whitney Aircraft Group,ASQR-02,Supplier Quality System Requirements For Maintenance Organizations,6908,סיטבון אלי,,2,18/12/2007,23/02/2015,Active,,,
7100,Pratt & Whitney Aircraft Group,ASQR-20.1,SUPPLIER SAMPLING REQUIREMENTS,307,דיין משה,,5,08/04/2009,10/07/2012,Active,,,
7100,Pratt & Whitney Aircraft Group,ATTM MASTER,ALLOY TYPE TEST METHOD [ATTM],106815,וולפמן בוריס,,F,30/04/1982,06/07/2011,Active,,,
7100,Pratt & Whitney Aircraft Group,ATTM MASTER SUPPLEME,ATTM CODE REQUIREMENTS BY ALLOY,106815,וולפמן בוריס,,E,27/07/2004,06/07/2011,Active,,,
7100,Pratt & Whitney Aircraft Group,ATTM-2,METHOD SPECIFICATION IS CANCELLED,,,,L,01/08/1962,30/04/1982,Active,,,
7100,Pratt & Whitney Aircraft Group,ATTM-8,METHOD SPECIFICATION IS CANCELED,,,,D,09/07/1991,30/04/1982,Active,,,
7100,Pratt & Whitney Aircraft Group,App. 35,Product Identification of Airfoil Castings,113522,נפמן אוראל,,C,01/01/1956,30/05/2019,Active,,,
7100,Pratt & Whitney Aircraft Group,BRM M,Balancing Requirement Method (BRM) – Master,114108,לונדון פלביו,12,D,19/02/2013,01/10/2018,Active,,,
7100,Pratt & Whitney Aircraft Group,BSQ,BALANCE SYSTEM QUALIFICATION,111807,הלל גיא,,12,11/09/2002,19/06/2018,Active,,,
7100,Pratt & Whitney Aircraft Group,Bulletin No. 526,SQA Forms,52258,קציר עמוס,,,09/05/2012,09/05/2012,Active,,,
7100,Pratt & Whitney Aircraft Group,Bulletin No. 527,Adding Standard Catalog Hardware parts to the QPL that do not require FAI,52258,קציר עמוס,,,09/05/2012,09/05/2012,Active,,,
7100,Pratt & Whitney Aircraft Group,Bulletin No. 527A,"Adding Industry Standard Catalog Hardware parts to the QPL that do not
require FAI",52258,קציר עמוס,,,27/11/2012,27/11/2012,Active,,,
7100,Pratt & Whitney Aircraft Group,Bulletin No. 530,"SQR coverage at ISQR-01 suppliers, and for parts required to meet ISQR-
01 in place of ASQR-01.",52258,קציר עמוס,,,10/09/2012,10/09/2012,Active,,,
7100,Pratt & Whitney Aircraft Group,Bulletin No. 531,Military Tooling Acceptance Marking Bulletin.,52258,קציר עמוס,,,10/09/2012,10/09/2012,Active,,,
7100,Pratt & Whitney Aircraft Group,Bulletin No. 532,FAI Standard Work Checklist,52258,קציר עמוס,,,11/09/2012,11/09/2012,Active,,,
7100,Pratt & Whitney Aircraft Group,Bulletin No. 533,SQA Non-Flight Hardware Inspection Stamps,52258,קציר עמוס,,,14/11/2012,14/11/2012,Active,,,
7100,Pratt & Whitney Aircraft Group,Bulletin No. 533A,Stamps,52258,קציר עמוס,,,22/03/2013,22/03/2013,Active,,,
7100,Pratt & Whitney Aircraft Group,Bulletin No. 534,Development Raw Material Marking,52258,קציר עמוס,,,14/11/2012,14/11/2012,Active,,,
7100,Pratt & Whitney Aircraft Group,Bulletin No. 535,FAI Standard Work Checklist,52258,קציר עמוס,,,14/11/2012,14/11/2012,Active,,,
7100,Pratt & Whitney Aircraft Group,Bulletin No. 536,Ship Prior to Completion of Requirements,52258,קציר עמוס,,,13/12/2012,13/12/2012,Active,,,
7100,Pratt & Whitney Aircraft Group,Bulletin No. 537,SQAPM Section 3 Source Over–Inspection Requirements,52258,קציר עמוס,,,27/02/2013,27/02/2013,Active,,,
7100,Pratt & Whitney Aircraft Group,Bulletin No. 537A,"Shipping material prior to completion of required
Testing, Qualification, or Disposition.",52258,קציר עמוס,,,22/03/2013,22/03/2013,Active,,,
7100,Pratt & Whitney Aircraft Group,Bulletin No. 538,"SQAPM Section 5
Surveillance Requirements",52258,קציר עמוס,,,27/06/2013,27/06/2013,Active,,,
