לקוח,שם לקוח,תקן,תיאור,אחראי לביצוע,שם אחראי,אגף,גירסה,תאריך הוצאה,תאריך עדכון אחרון,פעיל, , , 
7103,Pratt & Whitney - Canada,AC 36,RADIOGRAPHY AUDIT CONTROL AT SOURCE,108787,חן שבתאי,,G,16/04/1996,26/06/2018,Active,,,
7103,Pratt & Whitney - Canada,AC 40,NON-DESTRUCTIVE TESTING CONTROL AT SOURCE,108787,חן שבתאי,,C,05/10/2005,26/06/2018,Active,,,
7103,Pratt & Whitney - Canada,ASAP 414,ETCHING BEFOR FPI,111534,רוזנשטיין צ'רלס,,-,15/06/2017,15/06/2017,Active,,,
7103,Pratt & Whitney - Canada,CCT 6111,ROTOR BALANCING BASICS,115741,נגרו חזי אפרת,,2,19/02/1991,24/11/2015,Active,,,
7103,Pratt & Whitney - Canada,CPW  152,CLEANLINESS REQUIREMENTS OF PRODUCT ITEMS,,,,D,14/12/2000,03/11/2015,Active,,,
7103,Pratt & Whitney - Canada,CPW -  111,QUALITY CONTROL REQUIREMENTS,,,,G,28/05/1969,27/09/2011,Active,,,
7103,Pratt & Whitney - Canada,CPW -  121,QUALITY ASSURANCE REQUIEMENTS,,,,V,20/11/1972,05/05/2014,Active,,,
7103,Pratt & Whitney - Canada,CPW -  633,"COATING, DIFFUSED ALUMINIDE",,,,A,27/10/1997,19/07/2000,Active,,,
7103,Pratt & Whitney - Canada,CPW - 10,IDENTIFICATION MARKING,112797,יונגמן יותם,,BK,16/05/1958,20/06/2017,Active,,,
7103,Pratt & Whitney - Canada,CPW - 100,CONTROL OF MATERIALS,,,,P,25/09/1958,22/03/2017,Active,,,
7103,Pratt & Whitney - Canada,CPW - 106,SUPPLIER QUALITY CONTROL REQUIREMENTS,,,,F,05/10/1966,10/07/2002,Active,,,
7103,Pratt & Whitney - Canada,CPW - 107,SUPPLIER QUALITY CONTROL REQUIREMENTS,,,,M,12/10/1966,20/05/1999,Active,,,
7103,Pratt & Whitney - Canada,CPW - 108,CALIBRATION SYSTEM REQUIREMENTS,,,,E,13/10/1966,10/03/1997,Active,,,
7103,Pratt & Whitney - Canada,CPW - 109,QUALITY ASSURANCE REQUIREMENTS,,,,M,14/11/1969,10/09/2002,Active,,,
7103,Pratt & Whitney - Canada,CPW - 110,VENDOR RESPONSIBILITIES,,,,B,31/03/1969,10/03/1997,Active,,,
7103,Pratt & Whitney - Canada,CPW - 135,ENGINEERING SOURCE APPROVAL - PROCESS APPROVAL,307,דיין משה,22,AC,02/11/1973,01/06/2018,Active,,,
7103,Pratt & Whitney - Canada,CPW - 141,BALANCING OPERATIONS,,,,D,26/10/1988,07/09/2007,Active,,,
7103,Pratt & Whitney - Canada,CPW - 142,QUALITY CONTROL REQUIREMENTS,,,,D,28/02/1995,19/04/2001,Active,,,
7103,Pratt & Whitney - Canada,CPW - 144,BALANCING MACHINE,,,,E,22/09/1988,18/11/2002,Active,,,
7103,Pratt & Whitney - Canada,CPW - 148,PROCESS CONTROL - MONITORING SYSTEM REQIREMENTS,,,,G,10/06/1992,10/09/2002,Active,,,
7103,Pratt & Whitney - Canada,CPW - 20,TRAITEMENTS DE PROTECTION,,,,BA,15/12/1968,13/03/2017,Active,,,
7103,Pratt & Whitney - Canada,CPW - 203,ALLOY BARS AND FORGINGS,,,,U,23/12/1964,21/06/2006,Active,,,
7103,Pratt & Whitney - Canada,CPW - 21,HEAT TREATMENTS,116301,רוד דן,,AN,15/12/1958,12/05/2016,Active,,,
7103,Pratt & Whitney - Canada,CPW - 219,"ALLOY CASTINGS, INVESTEMNT",,,,M,31/01/1968,18/08/1997,Active,,,
7103,Pratt & Whitney - Canada,CPW - 23,RESISTANCE WELDING SPOT STICH SEAM AND PROJECTION,110932,שר יעקב,12,U,12/05/1958,03/05/2012,Active,,,
7103,Pratt & Whitney - Canada,CPW - 24,WELDING ARC GAS ELECTRON AND LASER BEAM,110932,שר יעקב,12,Y,08/07/1959,05/01/2016,Active,,,
7103,Pratt & Whitney - Canada,CPW - 29,SPUR AND HELICAL GEAR AND SPLINE REQUIREMENTS,88500,לפיד אלדד,,L,03/11/1958,11/06/1996,Active,,,
7103,Pratt & Whitney - Canada,CPW - 300,MICROSTRUCTURAL STANDARDS - LOW ALLOY STEEL AND MARTENSITIC STAINLESS STEELS,106815,וולפמן בוריס,,J,08/05/1974,04/06/2009,Active,,,
7103,Pratt & Whitney - Canada,CPW - 31,"SURFACE TEXTURE [RUGOSITE, ONDULATION ET STRIES]",88500,לפיד אלדד,,K,26/03/1958,28/09/2011,Active,,,
7103,Pratt & Whitney - Canada,CPW - 32,FINISHING OF COMPRESSOR AND TURBINE PARTS,88500,לפיד אלדד,,L,04/08/1966,15/04/2004,Active,,,
7103,Pratt & Whitney - Canada,CPW - 33,"COATING, PLASMA SPRAY DEPOSITION",115402,טרננקו ויטלי,,R,20/09/1967,10/05/2016,Active,,,
7103,Pratt & Whitney - Canada,CPW - 330,ENGINEERING CONTROLLED PROCESSES,307,דיין משה,,W,12/06/1975,28/09/2018,Active,,,
7103,Pratt & Whitney - Canada,CPW - 333,SURFACE COATING - PACK PROCESS,,,,K,24/10/1975,19/07/2000,Active,,,
7103,Pratt & Whitney - Canada,CPW - 350,METAL REMMOVAL BY NONMECHANICAL METHODS,88500,לפיד אלדד,,T,16/08/1974,03/10/2006,Active,,,
7103,Pratt & Whitney - Canada,CPW - 370,BEVEL GEAR,,,,L,01/11/1976,07/09/2004,Active,,,
7103,Pratt & Whitney - Canada,CPW - 372,TEST SPECIMENTS - METALLIC MATERIALS,,,,,14/08/1978,14/08/1978,Active,,,
7103,Pratt & Whitney - Canada,CPW - 389,"ALLOY CASTINGS, INVESTMENT, CORROSION AND HEAT RESISTANT",105155,הרוש ציון,,M,05/07/1928,30/04/1997,Active,,,
7103,Pratt & Whitney - Canada,CPW - 402,"GRINDING OF TITANIUM AND TITANIUM
ALLOYS",88500,לפיד אלדד,,E,01/03/2008,01/03/2008,Active,,,
7103,Pratt & Whitney - Canada,CPW - 41,ALLOY BARS,,,,AC,06/04/1987,27/06/2014,Active,,,
7103,Pratt & Whitney - Canada,CPW - 433,COMPUTER FILES FOR CAD/CAM DATA,88500,לפיד אלדד,,J,14/11/1984,14/12/2011,Active,,,
7103,Pratt & Whitney - Canada,CPW - 447,BRAZING - HONEYCOMB ABRADABLE SEAL STRUCTURES,115402,טרננקו ויטלי,,H,15/05/1986,27/11/2009,Active,,,
7103,Pratt & Whitney - Canada,CPW - 451,DEAWING ENTERPRETATIONS FOR AIRFOILS,,,,G,07/08/1987,05/10/2015,Active,,,
7103,Pratt & Whitney - Canada,CPW - 543,GENERAL REQUIREMENTS FOR VISUAL,52258,קציר עמוס,,U,05/07/1993,21/02/2020,Active,,,
7103,Pratt & Whitney - Canada,CPW - 544,VISUAL INSPECTIONS STANDARD,,,,C,20/10/1994,20/12/2016,Active,,,
